,Country,Total Cases,New Cases,Total Death,New Deaths,Total Recovered,other,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
74,Venezuela,"189,381",,"2,009",,"172,035",,"15,337",293,"6,675",71,"3,359,014","118,398","28,370,512"
75,Oman,"185,278",,"1,942",,"165,051",,"18,285",266,"35,555",373,"1,550,000","297,448","5,211,002"
76,Uruguay,"182,326","+2,789","2,283",+56,"151,669","+3,108","28,374",519,"52,340",655,"1,720,603","493,931","3,483,486"
77,Libya,"174,752",,"2,947",,"160,113",,"11,692",,"25,156",424,"942,970","135,743","6,946,740"
78,Bahrain,"170,335","+1,081",620,+3,"159,198","+1,065","10,517",99,"97,394",355,"3,997,605","2,285,750","1,748,925"
79,Nigeria,"164,633",,"2,061",,"154,643",,"7,929",11,783,10,"1,870,915","8,899","210,246,752"
80,Kenya,"156,318","+1,153","2,603",+20,"106,093",,"47,622",236,"2,856",48,"1,631,699","29,817","54,724,507"
81,North Macedonia,"150,274",+564,"4,650",+22,"128,496","+1,357","17,128",124,"72,133","2,232","703,569","337,718","2,083,305"
82,Myanmar,"142,704",+17,"3,206",,"131,925",+4,"7,573",,"2,609",59,"2,565,007","46,888","54,705,079"
83,Albania,"130,409",+139,"2,372",+5,"105,016",+738,"23,021",18,"45,356",825,"619,922","215,607","2,875,247"
84,Algeria,"120,736",+174,"3,198",+8,"84,167",+129,"33,371",19,"2,714",72,"230,861","5,189","44,489,320"
85,Estonia,"120,000",+390,"1,137",+11,"107,298","+1,043","11,565",61,"90,412",857,"1,259,354","948,838","1,327,259"
86,S. Korea,"118,243",+785,"1,812",+1,"107,781",+710,"8,650",136,"2,305",35,"8,632,923","168,267","51,304,974"
87,Latvia,"114,955",+711,"2,101",+7,"103,953",,"8,901",74,"61,499","1,124","2,210,403","1,182,526","1,869,222"
88,Norway,"110,390",+329,736,,"88,952",,"20,702",36,"20,234",135,"5,084,200","931,933","5,455,544"
89,Sri Lanka,"100,586",+895,638,,"94,155",+119,"5,793",,"4,681",30,"2,374,627","110,520","21,485,994"
90,Cuba,"100,318","+1,110",581,+12,"93,948",+988,"5,789",66,"8,861",51,"3,495,722","308,782","11,321,006"
91,Montenegro,"96,499",+151,"1,463",+6,"92,377",+235,"2,659",69,"153,629","2,329","368,139","586,087","628,130"
92,Kyrgyzstan,"93,603",+325,"1,578",+5,"87,880",+163,"4,145",25,"14,159",239,"959,162","145,085","6,611,013"
93,Ghana,"91,928",,777,,"89,729",,"1,422",9,"2,910",25,"1,055,797","33,416","31,595,178"
94,Zambia,"91,317",+66,"1,245",,"89,403",+147,669,45,"4,858",66,"1,375,608","73,181","18,797,289"
